station_id,longitude,latitude,station_class
dongsi_aq,116.417,39.929,urban
tiantan_aq,116.407,39.886,urban
guanyuan_aq,116.339,39.929,urban
wanshouxigong_aq,116.352,39.878,urban
aotizhongxin_aq,116.397,39.982,urban
nongzhanguan_aq,116.461,39.937,urban
wanliu_aq,116.287,39.987,urban
beibuxinqu_aq,116.174,40.09,urban
zhiwuyuan_aq,116.207,40.002,urban
fengtaihuayuan_aq,116.279,39.863,urban
yungang_aq,116.146,39.824,urban
gucheng_aq,116.184,39.914,urban
fangshan_aq,116.136,39.742,suburban
daxing_aq,116.404,39.718,suburban
yizhuang_aq,116.506,39.795,suburban
tongzhou_aq,116.663,39.886,suburban
shunyi_aq,116.655,40.127,suburban
pingchang_aq,116.23,40.217,suburban
mentougou_aq,116.106,39.937,suburban
pinggu_aq,117.1,40.143,suburban
huairou_aq,116.628,40.328,suburban
miyun_aq,116.832,40.37,suburban
yanqin_aq,115.972,40.453,suburban
dingling_aq,116.22,40.292,other
badaling_aq,115.988,40.365,other
miyunshuiku_aq,116.911,40.499,other
donggaocun_aq,117.12,40.1,other
yongledian_aq,116.783,39.712,other
yufa_aq,116.3,39.52,other
liulihe_aq,116,39.58,other
qianmen_aq,116.395,39.899,neartraffic
yongdingmennei_aq,116.394,39.876,neartraffic
xizhimenbei_aq,116.349,39.954,neartraffic
nansanhuan_aq,116.368,39.856,neartraffic
dongsihuan_aq,116.483,39.939,neartraffic